"","DivisionID","DivisionNm","CandidateID","Surname","GivenNm","BallotPosition","Elected","HistoricElected","PartyAb","PartyNm","State","Total_OrdinaryVotes_in_electorate"
"34",105,"Bennelong",999,"Informal","Informal",999,"N","N","","Informal","NSW",6293
"35",105,"Bennelong",23197,"ALEXANDER","John",6,"Y","Y","LP","Liberal","NSW",38541
"36",105,"Bennelong",23256,"PETERS","Lindsay",1,"N","N","GRN","The Greens","NSW",5880
"37",105,"Bennelong",24094,"McCAFFREY","Lachlan Patrick",5,"N","N","DLP","Democratic Labour Party (DLP)","NSW",470
"38",105,"Bennelong",24119,"MARKS","Robert James",4,"N","N","PUP","Palmer United Party","NSW",1287
"39",105,"Bennelong",24715,"AUGUST","John",7,"N","N","SPA","Secular Party of Australia","NSW",472
"40",105,"Bennelong",24738,"LI","Jason Yat-Sen",2,"N","N","ALP","Australian Labor Party","NSW",24041
"41",105,"Bennelong",24757,"WORSLEY","Julie",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1780
"42",105,"Bennelong",24778,"WATERSON","Victor",8,"N","N","AFN","Australia First Party","NSW",369
"43",106,"Berowra",999,"Informal","Informal",999,"N","N","","Informal","NSW",4381
"44",106,"Berowra",17744,"GALLAGHER","Mick",1,"N","N","IND","Independent","NSW",2707
"45",106,"Berowra",23168,"SMYTHE","Deborah",4,"N","N","SPP","Stable Population Party","NSW",399
"46",106,"Berowra",23175,"STOREY","John",3,"N","N","GRN","The Greens","NSW",7210
"47",106,"Berowra",23203,"RUDDOCK","Philip",5,"Y","Y","LP","Liberal","NSW",44666
"48",106,"Berowra",24164,"GRAVES","Paul Frederick",6,"N","N","PUP","Palmer United Party","NSW",1987
"49",106,"Berowra",24544,"STOVE","Michael Joseph",7,"N","N","ALP","Australian Labor Party","NSW",13832
"50",106,"Berowra",24589,"THEW","Leighton",2,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1798
"51",107,"Blaxland",999,"Informal","Informal",999,"N","N","","Informal","NSW",11135
"52",107,"Blaxland",23213,"KHOURI","Anthony",2,"N","N","LP","Liberal","NSW",20949
"53",107,"Blaxland",24128,"BURROWS","Zali",3,"N","N","PUP","Palmer United Party","NSW",1743
"54",107,"Blaxland",24329,"KY","John",6,"N","N","GRN","The Greens","NSW",1846
"55",107,"Blaxland",24348,"ZALLOUA","Boutros",7,"N","N","DLP","Democratic Labour Party (DLP)","NSW",629
"56",107,"Blaxland",24537,"NASR","Juliat",5,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1354
"57",107,"Blaxland",24541,"TALEB","Nafez",1,"N","N","KAP","Katter's Australian Party","NSW",1527
"58",107,"Blaxland",24623,"CLARE","Jason",4,"Y","Y","ALP","Australian Labor Party","NSW",37451
"59",108,"Bradfield",999,"Informal","Informal",999,"N","N","","Informal","NSW",4677
"60",108,"Bradfield",23200,"FLETCHER","Paul",5,"Y","Y","LP","Liberal","NSW",47869
"61",108,"Bradfield",23308,"McINNES","Pippa",6,"N","N","GRN","The Greens","NSW",9380
"62",108,"Bradfield",24065,"HARROLD","Paul",2,"N","N","DLP","Democratic Labour Party (DLP)","NSW",776
"63",108,"Bradfield",24211,"BUCHANAN","Blake",1,"N","N","PUP","Palmer United Party","NSW",1915
"64",108,"Bradfield",24551,"HAVILAND","Chris",4,"N","N","ALP","Australian Labor Party","NSW",12037
"65",108,"Bradfield",24569,"ARCHER","John",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1294
"66",109,"Calare",999,"Informal","Informal",999,"N","N","","Informal","NSW",5521
"67",109,"Calare",21725,"ROSS","Macgregor",5,"N","N","IND","Independent","NSW",2113
"68",109,"Calare",23245,"COBB","John",1,"Y","Y","NP","The Nationals","NSW",47928
"69",109,"Calare",23346,"MALLARD","David",7,"N","N","GRN","The Greens","NSW",3505
"70",109,"Calare",24087,"CRAIG","Anthony Gerard",8,"N","N","DLP","Democratic Labour Party (DLP)","NSW",659
"71",109,"Calare",24137,"CAIN","Brian Eric",6,"N","N","PUP","Palmer United Party","NSW",4032
"72",109,"Calare",24593,"JENNINGS","Jess",4,"N","N","ALP","Australian Labor Party","NSW",21136
"73",109,"Calare",24626,"LYONS","Ian Scott",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1463
"74",109,"Calare",24662,"KIRKLAND","Billie",2,"N","N","KAP","Katter's Australian Party","NSW",1138
"75",109,"Calare",24669,"SCHULTZE","Peter",9,"N","N","AFN","Australia First Party","NSW",889
"76",110,"Charlton",999,"Informal","Informal",999,"N","N","","Informal","NSW",5935
"77",110,"Charlton",23196,"BAKER","Kevin",2,"N","N","LP","Liberal","NSW",20847
"78",110,"Charlton",23680,"KOCHER","Dessie",4,"N","N","GRN","The Greens","NSW",4966
"79",110,"Charlton",24141,"REID","Bronwyn Elizabeth",6,"N","N","PUP","Palmer United Party","NSW",8384
"80",110,"Charlton",24657,"CONROY","Pat",1,"Y","N","ALP","Australian Labor Party","NSW",34770
"81",110,"Charlton",24673,"CAMILLERI","Steve",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2270
"82",110,"Charlton",24685,"BURSTON","Brian",5,"N","N","ON","One Nation","NSW",1865
"83",110,"Charlton",24691,"ANTHONEY","Trevor",7,"N","N","BTA","Bullet Train For Australia","NSW",1180
"84",111,"Chifley",999,"Informal","Informal",999,"N","N","","Informal","NSW",11777
"85",111,"Chifley",23215,"WHITE","Isabelle",3,"N","N","LP","Liberal","NSW",22697
"86",111,"Chifley",24106,"WRIGHT","Michael",4,"N","N","DLP","Democratic Labour Party (DLP)","NSW",631
"87",111,"Chifley",24190,"KHAN","Ammar",1,"N","N","IND","Independent","NSW",1427
"88",111,"Chifley",24273,"BUTTEL","Christopher Ernest",9,"N","N","PUP","Palmer United Party","NSW",2890
"89",111,"Chifley",24439,"HAMMOND","Ben",7,"N","N","GRN","The Greens","NSW",1789
"90",111,"Chifley",24631,"HUSIC","Ed",2,"Y","Y","ALP","Australian Labor Party","NSW",37851
"91",111,"Chifley",24674,"VINCENT","Dave",5,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2471
"92",111,"Chifley",24763,"POWER","Elizabeth May",8,"N","N","ON","One Nation","NSW",1085
"93",111,"Chifley",24766,"NORWICK","Alex",6,"N","N","AFN","Australia First Party","NSW",315
"94",112,"Cook",999,"Informal","Informal",999,"N","N","","Informal","NSW",5221
"95",112,"Cook",12125,"STRANG","Graeme",7,"N","N","IND","Independent","NSW",1012
"96",112,"Cook",23219,"MORRISON","Scott",6,"Y","Y","LP","Liberal","NSW",48336
"97",112,"Cook",24136,"PALISE","Matthew Gary",2,"N","N","PUP","Palmer United Party","NSW",3234
"98",112,"Cook",24602,"SCAYSBROOK","Peter William",1,"N","N","ALP","Australian Labor Party","NSW",19446
"99",112,"Cook",24617,"SMITH","Beth",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1716
"100",112,"Cook",24618,"SALEAM","Jim",4,"N","N","AFN","Australia First Party","NSW",523
"101",112,"Cook",24642,"COX","Mithra",5,"N","N","GRN","The Greens","NSW",5089
"102",113,"Cowper",999,"Informal","Informal",999,"N","N","","Informal","NSW",4464
"103",113,"Cowper",23249,"HARTSUYKER","Luke",3,"Y","Y","NP","The Nationals","NSW",40704
"104",113,"Cowper",23327,"VERNON","Carol",1,"N","N","GRN","The Greens","NSW",9233
"105",113,"Cowper",24182,"JEANNERET","Rodney Norman",4,"N","N","PUP","Palmer United Party","NSW",5126
"106",113,"Cowper",24594,"NAVARRO","Alfredo",5,"N","N","ALP","Australian Labor Party","NSW",19644
"107",113,"Cowper",24622,"McALPINE","Bethany",2,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1986
"108",114,"Cunningham",999,"Informal","Informal",999,"N","N","","Informal","NSW",5578
"109",114,"Cunningham",23156,"FLANAGAN","John",7,"N","N","NCP","Non-Custodial Parents Party (Equal Parenting)","NSW",735
"110",114,"Cunningham",23188,"CLIFFORD","Philip",1,"N","N","LP","Liberal","NSW",25821
"111",114,"Cunningham",23258,"WILSON","Helen",3,"N","N","GRN","The Greens","NSW",9067
"112",114,"Cunningham",24153,"ATLEE","Christopher James",2,"N","N","PUP","Palmer United Party","NSW",3654
"113",114,"Cunningham",24615,"GEORGE","Rob",4,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1878
"114",114,"Cunningham",24627,"BURSILL","John Leslie",6,"N","N","KAP","Katter's Australian Party","NSW",680
"115",114,"Cunningham",24668,"BIRD","Sharon",5,"Y","Y","ALP","Australian Labor Party","NSW",35706
"116",115,"Dobell",999,"Informal","Informal",999,"N","N","","Informal","NSW",6310
"117",115,"Dobell",21273,"THOMSON","Craig",2,"N","Y","IND","Independent","NSW",2960
"118",115,"Dobell",23243,"McNAMARA","Karen",8,"Y","N","LP","Liberal","NSW",30473
"119",115,"Dobell",23244,"WYNN","Sue",9,"N","N","GRN","The Greens","NSW",3495
"120",115,"Dobell",23373,"OWEN","Greg",1,"N","N","CEC","Citizens Electoral Council","NSW",573
"121",115,"Dobell",24186,"McGILL","Kate Angelique",6,"N","N","PUP","Palmer United Party","NSW",2512
"122",115,"Dobell",24570,"McBRIDE","Emma",4,"N","N","ALP","Australian Labor Party","NSW",26386
"123",115,"Dobell",24573,"KUNDE","Christian",3,"N","N","BTA","Bullet Train For Australia","NSW",463
"124",115,"Dobell",24576,"ERVIN","Hadden",7,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1046
"125",115,"Dobell",24791,"BRACKEN","Nathan",5,"N","N","IND","Independent","NSW",6113
"126",117,"Eden-Monaro",999,"Informal","Informal",999,"N","N","","Informal","NSW",4737
"127",117,"Eden-Monaro",23171,"TYE","Martin",2,"N","N","SPP","Stable Population Party","NSW",482
"128",117,"Eden-Monaro",23189,"HENDY","Peter",1,"Y","N","LP","Liberal","NSW",34268
"129",117,"Eden-Monaro",23239,"MOORE","Catherine",5,"N","N","GRN","The Greens","NSW",5500
"130",117,"Eden-Monaro",23410,"GOUMAS","Costas",6,"N","N","CEC","Citizens Electoral Council","NSW",142
"131",117,"Eden-Monaro",24255,"LYNCH","Dean",4,"N","N","PUP","Palmer United Party","NSW",4083
"132",117,"Eden-Monaro",24547,"KELLY","Mike",3,"N","Y","ALP","Australian Labor Party","NSW",29806
"133",117,"Eden-Monaro",24578,"CATTON","Warren",8,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",715
"134",117,"Eden-Monaro",24751,"THALER","Andrew",7,"N","N","IND","Independent","NSW",942
"135",118,"Farrer",999,"Informal","Informal",999,"N","N","","Informal","NSW",5947
"136",118,"Farrer",23181,"LEY","Sussan",4,"Y","Y","LP","Liberal","NSW",40879
"137",118,"Farrer",23238,"SOBEY","Christina",9,"N","N","GRN","The Greens","NSW",3124
"138",118,"Farrer",24229,"CATTELL","Brendan",2,"N","N","DLP","Democratic Labour Party (DLP)","NSW",1317
"139",118,"Farrer",24237,"EMMERTON","Ronald James",5,"N","N","PUP","Palmer United Party","NSW",3007
"140",118,"Farrer",24524,"HICKEY","Gavin",6,"N","N","ALP","Australian Labor Party","NSW",17699
"141",118,"Farrer",24689,"DAVIS","Narelle",1,"N","N","RUA","Rise Up Australia Party","NSW",1452
"142",118,"Farrer",24704,"HORWILL","Frank",8,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",852
"143",118,"Farrer",24707,"TREWIN","Ken",3,"N","N","KAP","Katter's Australian Party","NSW",2624
"144",118,"Farrer",24709,"POWELL","Tracey",7,"N","N","BTA","Bullet Train For Australia","NSW",887
"145",119,"Fowler",999,"Informal","Informal",999,"N","N","","Informal","NSW",11529
"146",119,"Fowler",23236,"SILAPHET","Benjamin",2,"N","N","GRN","The Greens","NSW",2140
"147",119,"Fowler",23240,"NGUYEN","Andrew",4,"N","N","LP","Liberal","NSW",17285
"148",119,"Fowler",24162,"PASTOORS","Bradley Charles",6,"N","N","PUP","Palmer United Party","NSW",2279
"149",119,"Fowler",24548,"HAYES","Chris",5,"Y","Y","ALP","Australian Labor Party","NSW",41820
"150",119,"Fowler",24591,"McLEAN","Darren C",3,"N","N","KAP","Katter's Australian Party","NSW",717
"151",119,"Fowler",24633,"ATTIA","Matt",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2988
"152",120,"Gilmore",999,"Informal","Informal",999,"N","N","","Informal","NSW",4480
"153",120,"Gilmore",23190,"SUDMALIS","Ann",5,"Y","N","LP","Liberal","NSW",36337
"154",120,"Gilmore",23663,"BARRATT","Terry",3,"N","N","GRN","The Greens","NSW",7115
"155",120,"Gilmore",24144,"HARRIS","Lyndal Gai",4,"N","N","PUP","Palmer United Party","NSW",5079
"156",120,"Gilmore",24600,"REILLY","Neil Ernest",2,"N","N","ALP","Australian Labor Party","NSW",27995
"157",120,"Gilmore",24639,"RYAN","Steve",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2657
"158",121,"Grayndler",999,"Informal","Informal",999,"N","N","","Informal","NSW",5907
"159",121,"Grayndler",23192,"SPENCER","Cedric",3,"N","N","LP","Liberal","NSW",18031
"160",121,"Grayndler",23301,"GREENLAND","Hall",4,"N","N","GRN","The Greens","NSW",16882
"161",121,"Grayndler",24207,"BALASINGHAM","Mohanadas",5,"N","N","PUP","Palmer United Party","NSW",1269
"162",121,"Grayndler",24610,"ALBANESE","Anthony",6,"Y","Y","ALP","Australian Labor Party","NSW",35488
"163",121,"Grayndler",24695,"GREEN","Joshua",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1453
"164",121,"Grayndler",24718,"SCULLY","Joel",2,"N","N","BTA","Bullet Train For Australia","NSW",872
"165",122,"Greenway",999,"Informal","Informal",999,"N","N","","Informal","NSW",8623
"166",122,"Greenway",23185,"DIAZ","Jaymes",1,"N","N","LP","Liberal","NSW",28973
"167",122,"Greenway",24148,"WOOTTON","Jodie Camille",3,"N","N","PUP","Palmer United Party","NSW",2958
"168",122,"Greenway",24187,"BRENTIN","Chris",8,"N","N","GRN","The Greens","NSW",2622
"169",122,"Greenway",24422,"CAVANOUGH","Jamie",2,"N","N","VCE","Australian Voice","NSW",412
"170",122,"Greenway",24644,"ROWLAND","Michelle",5,"Y","Y","ALP","Australian Labor Party","NSW",33423
"171",122,"Greenway",24648,"NICHOLS","Maree",9,"N","N","RUA","Rise Up Australia Party","NSW",552
"172",122,"Greenway",24655,"LILLICRAP","Tom",4,"N","N","ASXP","Sex Party","NSW",1238
"173",122,"Greenway",24658,"GREEN","Allan",7,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2767
"174",122,"Greenway",24670,"BELCASTRO","Anthony Gino",6,"N","N","KAP","Katter's Australian Party","NSW",564
"175",124,"Hughes",999,"Informal","Informal",999,"N","N","","Informal","NSW",6334
"176",124,"Hughes",23198,"KELLY","Craig",5,"Y","Y","LP","Liberal","NSW",41473
"177",124,"Hughes",23255,"WESTERBERG","Signe",4,"N","N","GRN","The Greens","NSW",3182
"178",124,"Hughes",24204,"PETERS","John",1,"N","N","PUP","Palmer United Party","NSW",4427
"179",124,"Hughes",24612,"MEGARRITY","Alison Patricia",2,"N","N","ALP","Australian Labor Party","NSW",24194
"180",124,"Hughes",24613,"COLSELL","Peter M",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2176
"181",125,"Hume",999,"Informal","Informal",999,"N","N","","Informal","NSW",5470
"182",125,"Hume",23222,"TAYLOR","Angus",5,"Y","N","LP","Liberal","NSW",42105
"183",125,"Hume",23400,"COSGROVE","Lindsay D",1,"N","N","CEC","Citizens Electoral Council","NSW",1030
"184",125,"Hume",23770,"CHEVALIER","Zaza",8,"N","N","GRN","The Greens","NSW",4150
"185",125,"Hume",24163,"CORNELIUS","Jason Peter",6,"N","N","PUP","Palmer United Party","NSW",3433
"186",125,"Hume",24601,"NICHOLSON","Bruce",2,"N","N","KAP","Katter's Australian Party","NSW",1364
"187",125,"Hume",24698,"VAN DER BYL","Adrian",7,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1190
"188",125,"Hume",24730,"HARKER-MORTLOCK","James Robert",3,"N","N","IND","Independent","NSW",1722
"189",125,"Hume",24787,"PILBROW","Michael",4,"N","N","ALP","Australian Labor Party","NSW",20743
"190",125,"Hume",24808,"STYLES","Lynette",9,"N","N","ON","One Nation","NSW",2116
"191",126,"Hunter",999,"Informal","Informal",999,"N","N","","Informal","NSW",5543
"192",126,"Hunter",23251,"JOHNSEN","Michael",2,"N","N","NP","The Nationals","NSW",26771
"193",126,"Hunter",23297,"ATWELL","David",1,"N","N","GRN","The Greens","NSW",4274
"194",126,"Hunter",23343,"LAWLER","Ann",3,"N","N","CEC","Citizens Electoral Council","NSW",717
"195",126,"Hunter",24224,"STEFANAC","Jennifer Susan",5,"N","N","PUP","Palmer United Party","NSW",5922
"196",126,"Hunter",24543,"FITZGIBBON","Joel",6,"Y","Y","ALP","Australian Labor Party","NSW",34171
"197",126,"Hunter",24549,"FOX","Bill",4,"N","N","ON","One Nation","NSW",2829
"198",126,"Hunter",24552,"STRETTON","Richard",7,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1586
"199",127,"Kingsford Smith",999,"Informal","Informal",999,"N","N","","Informal","NSW",7296
"200",127,"Kingsford Smith",23187,"FENELEY","Michael",5,"N","N","LP","Liberal","NSW",31328
"201",127,"Kingsford Smith",23227,"LUCAS","Geordie",6,"N","N","FUT","Future Party","NSW",528
"202",127,"Kingsford Smith",23751,"MACDONALD","James",7,"N","N","GRN","The Greens","NSW",6688
"203",127,"Kingsford Smith",24240,"HAPP","Diane Olga",4,"N","N","PUP","Palmer United Party","NSW",1339
"204",127,"Kingsford Smith",24545,"SOMERFIELD","Danielle",2,"N","N","RUA","Rise Up Australia Party","NSW",265
"205",127,"Kingsford Smith",24553,"THISTLETHWAITE","Matt",3,"Y","N","ALP","Australian Labor Party","NSW",31089
"206",127,"Kingsford Smith",24562,"SHIHA","Jacquie",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1116
"207",128,"Lindsay",999,"Informal","Informal",999,"N","N","","Informal","NSW",7028
"208",128,"Lindsay",23170,"BROWN","Geoff",6,"N","N","SPP","Stable Population Party","NSW",336
"209",128,"Lindsay",23201,"SCOTT","Fiona",7,"Y","N","LP","Liberal","NSW",35748
"210",128,"Lindsay",23595,"LENTON","David",2,"N","N","GRN","The Greens","NSW",2200
"211",128,"Lindsay",24179,"WILCOX","Andrew William",4,"N","N","PUP","Palmer United Party","NSW",3993
"212",128,"Lindsay",24677,"BRADBURY","David",5,"N","Y","ALP","Australian Labor Party","NSW",30104
"213",128,"Lindsay",24682,"LAWSON","Jeffrey Wayne",1,"N","N","ON","One Nation","NSW",1499
"214",128,"Lindsay",24686,"GREEN","Andrew",8,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2154
"215",128,"Lindsay",24754,"SAUNDERS","Mick",3,"N","N","AFN","Australia First Party","NSW",499
"216",130,"Lyne",999,"Informal","Informal",999,"N","N","","Informal","NSW",5262
"217",130,"Lyne",23214,"OXENFORD","Ian",5,"N","N","GRN","The Greens","NSW",4445
"218",130,"Lyne",23252,"GILLESPIE","David",6,"Y","N","NP","The Nationals","NSW",40598
"219",130,"Lyne",23348,"GOUGH","Michael",8,"N","N","CEC","Citizens Electoral Council","NSW",281
"220",130,"Lyne",24143,"WILKIE","Troy Alexander",7,"N","N","PUP","Palmer United Party","NSW",4180
"221",130,"Lyne",24595,"ALLEY","Peter",4,"N","N","ALP","Australian Labor Party","NSW",16023
"222",130,"Lyne",24608,"HUTH","Craig",2,"N","N","ON","One Nation","NSW",1904
"223",130,"Lyne",24619,"KLOSE","John Walter",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1784
"224",130,"Lyne",24637,"BUCKLEY CLARE","Brian",3,"N","N","KAP","Katter's Australian Party","NSW",647
"225",130,"Lyne",24758,"ATTKINS","Steve",9,"N","N","IND","Independent","NSW",5770
"226",131,"Macarthur",999,"Informal","Informal",999,"N","N","","Informal","NSW",6516
"227",131,"Macarthur",23221,"MATHESON","Russell",2,"Y","Y","LP","Liberal","NSW",40428
"228",131,"Macarthur",24104,"DARLEY-JONES","Patrick",6,"N","N","GRN","The Greens","NSW",3288
"229",131,"Macarthur",24218,"GROSCHE","Goetz Robert Uwe",4,"N","N","PUP","Palmer United Party","NSW",4318
"230",131,"Macarthur",24733,"FULTON","Ian",5,"N","N","ALP","Australian Labor Party","NSW",22752
"231",131,"Macarthur",24741,"RAMSAY","Sarah",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1835
"232",131,"Macarthur",24771,"WILLIAMS","Mick",1,"N","N","KAP","Katter's Australian Party","NSW",1454
"233",132,"Mackellar",999,"Informal","Informal",999,"N","N","","Informal","NSW",4887
"234",132,"Mackellar",23184,"BISHOP","Bronwyn",5,"Y","Y","LP","Liberal","NSW",47910
"235",132,"Mackellar",23313,"KING","Jonathan",1,"N","N","GRN","The Greens","NSW",10762
"236",132,"Mackellar",24149,"DRUMMOND","Debra Gayle",2,"N","N","PUP","Palmer United Party","NSW",3314
"237",132,"Mackellar",24546,"HEDGE","Chris",4,"N","N","ALP","Australian Labor Party","NSW",13276
"238",132,"Mackellar",24783,"NERO","Silvana",3,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1540
"239",133,"Macquarie",999,"Informal","Informal",999,"N","N","","Informal","NSW",4780
"240",133,"Macquarie",23211,"MARKUS","Louise",2,"Y","Y","LP","Liberal","NSW",36852
"241",133,"Macquarie",24102,"ELARO","Teresa",4,"N","N","DLP","Democratic Labour Party (DLP)","NSW",393
"242",133,"Macquarie",24191,"MAXWELL","Philip Daniel",5,"N","N","PUP","Palmer United Party","NSW",3249
"243",133,"Macquarie",24690,"TEMPLEMAN","Susan",3,"N","N","ALP","Australian Labor Party","NSW",24331
"244",133,"Macquarie",24696,"LITTLEJOHN","Mark",8,"N","N","ASXP","Sex Party","NSW",1480
"245",133,"Macquarie",24716,"PIPER","Tony",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2335
"246",133,"Macquarie",24740,"WHEELER","Danielle",7,"N","N","GRN","The Greens","NSW",8517
"247",133,"Macquarie",24782,"HODGSON","Matt",6,"N","N","AFN","Australia First Party","NSW",615
"248",134,"Mitchell",999,"Informal","Informal",999,"N","N","","Informal","NSW",5127
"249",134,"Mitchell",23206,"HAWKE","Alex",5,"Y","Y","LP","Liberal","NSW",48832
"250",134,"Mitchell",23260,"BELLSTEDT","Michael",2,"N","N","GRN","The Greens","NSW",4637
"251",134,"Mitchell",24066,"DODD","Nathan",4,"N","N","DLP","Democratic Labour Party (DLP)","NSW",801
"252",134,"Mitchell",24157,"SCHULTZ","Murray",3,"N","N","PUP","Palmer United Party","NSW",2353
"253",134,"Mitchell",24556,"PUNCH","Andrew Thomas",6,"N","N","ALP","Australian Labor Party","NSW",15217
"254",134,"Mitchell",24572,"ALLEN","Darryl",1,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",2300
"255",135,"New England",999,"Informal","Informal",999,"N","N","","Informal","NSW",5449
"256",135,"New England",23247,"JOYCE","Barnaby",6,"Y","N","NP","The Nationals","NSW",43927
"257",135,"New England",23368,"WITTEN","Richard Innes",7,"N","N","CEC","Citizens Electoral Council","NSW",308
"258",135,"New England",23606,"SCHULTZ","Pat",3,"N","N","GRN","The Greens","NSW",3487
"259",135,"New England",24268,"McINTYRE","Jamie",5,"N","N","IND","Independent","NSW",5466
"260",135,"New England",24270,"GIRLE","Phillip John",1,"N","N","PUP","Palmer United Party","NSW",4215
"261",135,"New England",24533,"HEWITT","Stephen",8,"N","N","ALP","Australian Labor Party","NSW",9550
"262",135,"New England",24534,"DETTMANN","Brian Charles",2,"N","N","ON","One Nation","NSW",1352
"263",135,"New England",24535,"EVANS","Aaron Michael",9,"N","N","CDP","Christian Democratic Party (Fred Nile Group)","NSW",1310
"264",135,"New England",24752,"TABER","Rob",4,"N","N","IND","Independent","NSW",11611
"265",136,"Newcastle",999,"Informal","Informal",999,"N","N","","Informal","NSW",4977
